Estacao,Data,Hora,TempMaxima,TempMinima,Temp Comp Media,
82795,28/04/2016,0000,28.9,,24,
82795,28/04/2016,1200,,20.5,,
82795,29/04/2016,0000,29,,23.7,
82795,29/04/2016,1200,,20.5,,
82795,30/04/2016,0000,29.1,,24.22,
82795,30/04/2016,1200,,20.6,,
82795,01/05/2016,0000,27,,23.36,
82795,01/05/2016,1200,,21,,
82795,02/05/2016,0000,25.9,,23,
82795,02/05/2016,1200,,20.8,,
82795,03/05/2016,0000,28.7,,23.52,
82795,03/05/2016,1200,,20.3,,
82795,04/05/2016,0000,29.4,,23.38,
82795,04/05/2016,1200,,18.5,,
82795,05/05/2016,0000,28.2,,23.36,
82795,05/05/2016,1200,,19.3,,
82795,06/05/2016,0000,26.6,,22.74,
82795,06/05/2016,1200,,18.6,,
82795,07/05/2016,0000,28.4,,22.88,
82795,07/05/2016,1200,,18.6,,
82795,08/05/2016,0000,29,,23.28,
82795,08/05/2016,1200,,19.4,,
82795,09/05/2016,0000,24.1,,21.78,
82795,09/05/2016,1200,,20.3,,
82795,10/05/2016,0000,26.7,,23.98,
82795,10/05/2016,1200,,19.4,,
82795,11/05/2016,0000,24.7,,22.34,
82795,11/05/2016,1200,,20.6,,
82795,12/05/2016,0000,27,,23.28,
82795,12/05/2016,1200,,20.3,,
82795,13/05/2016,0000,28.8,,23.88,
82795,13/05/2016,1200,,20.6,,
82795,14/05/2016,0000,29.1,,23.78,
82795,14/05/2016,1200,,20.8,,
82795,15/05/2016,0000,28.8,,23.5,
82795,15/05/2016,1200,,19.8,,
82795,16/05/2016,0000,28.7,,23.4,
82795,16/05/2016,1200,,19.7,,
82795,17/05/2016,0000,27.3,,22.8,
82795,17/05/2016,1200,,19.6,,
82795,18/05/2016,0000,28.8,,23.64,
82795,18/05/2016,1200,,20.3,,
82795,19/05/2016,0000,28.1,,23.14,
82795,19/05/2016,1200,,20.1,,
82795,20/05/2016,0000,28.5,,23.34,
82795,20/05/2016,1200,,20.3,,
82795,21/05/2016,0000,28.4,,23.36,
82795,21/05/2016,1200,,19.8,,
82795,22/05/2016,0000,28.8,,23.88,
82795,22/05/2016,1200,,19.8,,
82795,23/05/2016,0000,28.7,,23.92,
82795,23/05/2016,1200,,20.3,,
82795,24/05/2016,0000,24.1,,22.58,
82795,24/05/2016,1200,,21.3,,
82795,25/05/2016,0000,26.3,,22.6,
82795,25/05/2016,1200,,20.5,,
82795,26/05/2016,0000,27.7,,22.42,
82795,26/05/2016,1200,,18.5,,
82795,27/05/2016,0000,28.2,,23.32,
82795,27/05/2016,1200,,20,,
82795,28/05/2016,0000,28.3,,23.46,
82795,28/05/2016,1200,,20.6,,
82795,29/05/2016,0000,27.8,,22.66,
82795,29/05/2016,1200,,18.9,,
82795,30/05/2016,0000,25.1,,22.48,
82795,30/05/2016,1200,,20.8,,
82795,31/05/2016,0000,27.7,,23.18,
82795,31/05/2016,1200,,19.1,,
82795,01/06/2016,0000,28.8,,23.36,
82795,01/06/2016,1200,,19.5,,
82795,02/06/2016,0000,28.2,,23.32,
82795,02/06/2016,1200,,19.5,,
82795,03/06/2016,0000,26.1,,22.5,
82795,03/06/2016,1200,,21.5,,
82795,04/06/2016,0000,26.7,,22.18,
82795,04/06/2016,1200,,19.6,,
82795,05/06/2016,0000,27.8,,23.38,
82795,05/06/2016,1200,,20.5,,
82795,06/06/2016,0000,28.1,,23.6,
82795,06/06/2016,1200,,20.4,,
82795,07/06/2016,0000,28.4,,23.58,
82795,07/06/2016,1200,,20.6,,
82795,08/06/2016,0000,29.2,,23.8,
82795,08/06/2016,1200,,20.5,,
82795,09/06/2016,0000,28.7,,23.8,
82795,09/06/2016,1200,,20.9,,
82795,10/06/2016,0000,29.2,,23.8,
82795,10/06/2016,1200,,20.6,,
82795,11/06/2016,0000,29.1,,23.46,
82795,11/06/2016,1200,,19.5,,
82795,12/06/2016,0000,29.1,,23.42,
82795,12/06/2016,1200,,19.8,,
82795,13/06/2016,0000,27.8,,22.38,
82795,13/06/2016,1200,,17.4,,
82795,14/06/2016,0000,28,,22.62,
82795,14/06/2016,1200,,18.5,,
82795,15/06/2016,0000,28,,22.44,
82795,15/06/2016,1200,,17.8,,
82795,16/06/2016,0000,28.4,,22.52,
82795,16/06/2016,1200,,18.5,,
82795,17/06/2016,0000,28.7,,22.68,
82795,17/06/2016,1200,,19.1,,
82795,18/06/2016,0000,28.5,,22.66,
82795,18/06/2016,1200,,19.1,,
82795,19/06/2016,0000,28.3,,22.44,
82795,19/06/2016,1200,,18,,
82795,20/06/2016,0000,27,,22.28,
82795,20/06/2016,1200,,18.6,,
82795,21/06/2016,0000,28.8,,22.96,
82795,21/06/2016,1200,,17.8,,
82795,22/06/2016,0000,22.9,,20.9,
82795,22/06/2016,1200,,19.4,,
82795,23/06/2016,0000,27.2,,22.22,
82795,23/06/2016,1200,,18.3,,
82795,24/06/2016,0000,27.7,,22.42,
82795,24/06/2016,1200,,18.6,,
82795,25/06/2016,0000,28.7,,22.82,
82795,25/06/2016,1200,,18.2,,
82795,26/06/2016,0000,25.1,,21.52,
82795,26/06/2016,1200,,19,,
82795,27/06/2016,0000,28.1,,21.68,
